,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos,, Value_Euros , Value_Euros1 
138,A. Lô,19,Senegal,FC Metz,57,72,€210K,€1K,CB,2024,57,32,33,35,59,55,Ligue 1,France,Defender,210K,1K,"A. Lô, CB",,"210,000.00",210000
139,A. Lonergan,35,England,Liverpool,65,65,€150K,€8K,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,150K,8K,"A. Lonergan, GK",,"150,000.00",150000
140,A. Lookman,21,England,RB Leipzig,76,86,€12.5M,€32K,RM,2024,82,74,68,83,28,61,Bundesliga,Germany,Midfielder,12.5M,32K,"A. Lookman, RM",,"12,500,000.00",12500000
141,A. Lopes,28,Portugal,Olympique Lyonnais,85,87,€33.5M,€88K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,33.5M,88K,"A. Lopes, GK",,"33,500,000.00",33500000
142,A. Lottin,17,France,FC Girondins de Bordeaux,62,82,€600K,€1K,CM,2021,70,46,59,62,60,60,Ligue 1,France,Midfielder,600K,1K,"A. Lottin, CM",,"600,000.00",600000
143,A. Lunin,20,Ukraine,Real Valladolid CF,76,88,€11M,€10K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,11M,10K,"A. Lunin, GK",,"11,000,000.00",11000000
144,A. Lupu,21,Romania,Deportivo Alaves,64,76,€825K,€4K,ST,2020,64,63,46,61,19,55,La Liga,Spain,Forward,825K,4K,"A. Lupu, ST",,"825,000.00",825000
145,A. Lusamba,22,France,OGC Nice,70,76,€2.4M,€14K,CM,2021,69,59,66,76,64,60,Ligue 1,France,Midfielder,2.4M,14K,"A. Lusamba, CM",,"2,400,000.00",2400000
146,A. Luthe,32,Germany,FC Augsburg,72,72,€1.9M,€13K,GK,2022,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,1.9M,13K,"A. Luthe, GK",,"1,900,000.00",1900000
147,A. Maier,20,Germany,Hertha BSC,76,87,€13M,€20K,CM,2022,67,57,72,75,68,70,Bundesliga,Germany,Midfielder,13M,20K,"A. Maier, CM",,"13,000,000.00",13000000
148,A. Maitland-Niles,21,England,Arsenal,75,84,€9.5M,€41K,RWB,2023,85,59,70,76,68,67,Premier League,UK,Defender,9.5M,41K,"A. Maitland-Niles, RWB",,"9,500,000.00",9500000
149,A. Mandi,27,Algeria,Real Betis,80,83,€16M,€27K,CB,2021,66,46,74,70,81,72,La Liga,Spain,Defender,16M,27K,"A. Mandi, CB",,"16,000,000.00",16000000
150,A. Mandrea,22,France,Angers SCO,63,70,€400K,€3K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,400K,3K,"A. Mandrea, GK",,"400,000.00",400000
151,A. Mariappa,32,Jamaica,Watford,75,75,€4.3M,€49K,CB,2020,55,34,57,62,76,70,Premier League,UK,Defender,4.3M,49K,"A. Mariappa, CB",,"4,300,000.00",4300000
152,A. Martial,23,France,Manchester United,83,88,€34.5M,€140K,LW,2024,89,81,72,86,41,71,Premier League,UK,Forward,34.5M,140K,"A. Martial, LW",,"34,500,000.00",34500000
153,A. Marušic,26,Montenegro,Lazio,77,77,€9.5M,€45K,RM,2022,87,71,72,76,72,76,Serie A,Italy,Midfielder,9.5M,45K,"A. Marušic, RM",,"9,500,000.00",9500000
154,A. Masiello,33,Italy,Atalanta,78,78,€4.9M,€48K,CB,2021,54,37,57,58,80,70,Serie A,Italy,Defender,4.9M,48K,"A. Masiello, CB",,"4,900,000.00",4900000
155,A. Masina,25,Italy,Watford,74,79,€6.5M,€43K,LB,2023,68,42,67,68,73,73,Premier League,UK,Defender,6.5M,43K,"A. Masina, LB",,"6,500,000.00",6500000
156,A. Masuaku,25,DR Congo,West Ham United,76,79,€8.5M,€57K,LB,2024,86,63,72,81,70,70,Premier League,UK,Defender,8.5M,57K,"A. Masuaku, LB",,"8,500,000.00",8500000
157,A. Mateju,23,Czech Republic,Brescia,67,73,€925K,€4K,RB,2022,73,41,62,67,64,67,Serie A,Italy,Defender,925K,4K,"A. Mateju, RB",,"925,000.00",925000
158,A. Matri,34,Italy,Sassuolo,71,71,€1.2M,€31K,ST,2020,60,68,58,67,37,65,Serie A,Italy,Forward,1.2M,31K,"A. Matri, ST",,"1,200,000.00",1200000
159,A. Maxim,28,Romania,1. FSV Mainz 05,73,73,€4M,€22K,CAM,2021,69,67,71,78,32,53,Bundesliga,Germany,Midfielder,4M,22K,"A. Maxim, CAM",,"4,000,000.00",4000000
160,A. McCarthy,29,England,Southampton,76,77,€6M,€38K,GK,2022,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,6M,38K,"A. McCarthy, GK",,"6,000,000.00",6000000
161,A. Mehmedi,28,Switzerland,VfL Wolfsburg,78,78,€10.5M,€52K,CF,2022,71,77,71,80,44,68,Bundesliga,Germany,Forward,10.5M,52K,"A. Mehmedi, CF",,"10,500,000.00",10500000
162,A. Mendy,25,France,FC Girondins de Bordeaux,72,76,€4.1M,€23K,ST,2021,71,73,51,64,24,79,Ligue 1,France,Forward,4.1M,23K,"A. Mendy, ST",,"4,100,000.00",4100000
163,A. Meret,22,Italy,Napoli,78,89,€14M,€36K,GK,2023,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,14M,36K,"A. Meret, GK",,"14,000,000.00",14000000
164,A. Milik,25,Poland,Napoli,83,88,€35M,€91K,ST,2021,69,85,64,76,39,74,Serie A,Italy,Forward,35M,91K,"A. Milik, ST",,"35,000,000.00",35000000
165,A. Mirante,35,Italy,Roma,79,79,€3.4M,€22K,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,3.4M,22K,"A. Mirante, GK",,"3,400,000.00",3400000
166,A. Modeste,31,France,1. FC Koln,79,79,€11.5M,€36K,ST,2023,74,78,63,72,35,80,Bundesliga,Germany,Forward,11.5M,36K,"A. Modeste, ST",,"11,500,000.00",11500000
167,A. Mohamed,20,Comoros,Olympique de Marseille,62,74,€500K,€4K,RB,2022,76,39,53,66,57,56,Ligue 1,France,Defender,500K,4K,"A. Mohamed, RB",,"500,000.00",500000
168,A. Mooy,28,Australia,Brighton & Hove Albion,76,76,€7.5M,€46K,CM,2020,59,69,77,73,69,74,Premier League,UK,Midfielder,7.5M,46K,"A. Mooy, CM",,"7,500,000.00",7500000
169,A. Morales,29,United States,Fortuna Dusseldorf,72,72,€3M,€22K,CM,2021,67,58,69,70,67,76,Bundesliga,Germany,Midfielder,3M,22K,"A. Morales, CM",,"3,000,000.00",3000000
170,A. Murgia,22,Italy,SPAL,72,78,€4.2M,€10K,CM,2024,48,64,68,69,69,59,Serie A,Italy,Midfielder,4.2M,10K,"A. Murgia, CM",,"4,200,000.00",4200000
171,A. Ndiaye,22,Senegal,Getafe CF,76,85,€12M,€20K,LM,2022,87,70,67,81,46,66,La Liga,Spain,Midfielder,12M,20K,"A. Ndiaye, LM",,"12,000,000.00",12000000
172,A. Ndiaye,19,Senegal,FC Metz,62,80,€650K,€2K,ST,2022,74,61,40,62,20,52,Ligue 1,France,Forward,650K,2K,"A. Ndiaye, ST",,"650,000.00",650000
173,A. Ndour,25,Senegal,RC Strasbourg Alsace,69,71,€1.1M,€11K,LB,2020,75,32,64,66,68,62,Ligue 1,France,Defender,1.1M,11K,"A. Ndour, LB",,"1,100,000.00",1100000
174,A. Ngouyamsa,18,Cameroon,Dijon FCO,58,79,€270K,€1K,LB,2020,65,32,38,55,63,59,Ligue 1,France,Defender,270K,1K,"A. Ngouyamsa, LB",,"270,000.00",270000
175,A. Nordin,21,France,AS Saint-etienne,70,80,€2.9M,€12K,LM,2022,82,67,63,73,32,52,Ligue 1,France,Midfielder,2.9M,12K,"A. Nordin, LM",,"2,900,000.00",2900000
176,A. Nubel,22,Germany,FC Schalke 04,75,85,€8.5M,€17K,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,8.5M,17K,"A. Nubel, GK",,"8,500,000.00",8500000
177,A. Nyom,31,Cameroon,Getafe CF,74,74,€4.1M,€18K,RWB,2021,70,47,62,65,75,82,La Liga,Spain,Defender,4.1M,18K,"A. Nyom, RWB",,"4,100,000.00",4100000
178,A. Ogbonna,31,Italy,West Ham United,77,77,€6.5M,€65K,CB,2022,58,39,58,60,79,74,Premier League,UK,Defender,6.5M,65K,"A. Ogbonna, CB",,"6,500,000.00",6500000
179,A. Olliero,23,France,FC Nantes,66,71,€650K,€4K,GK,2023,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,650K,4K,"A. Olliero, GK",,"650,000.00",650000
180,A. Olsen,19,Denmark,Bologna,72,83,€5M,€14K,RW,2024,84,72,63,73,35,68,Serie A,Italy,Forward,5M,14K,"A. Olsen, RW",,"5,000,000.00",5000000
181,A. Ouattara,19,Burkina Faso,LOSC Lille,64,80,€975K,€4K,RM,2024,77,56,54,68,32,53,Ligue 1,France,Midfielder,975K,4K,"A. Ouattara, RM",,"975,000.00",975000
182,A. Oukidja,30,Algeria,FC Metz,73,73,€2.7M,€12K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,2.7M,12K,"A. Oukidja, GK",,"2,700,000.00",2700000
183,A. Ounas,22,Algeria,Napoli,75,84,€10.5M,€43K,LM,2022,85,69,70,80,44,55,Serie A,Italy,Midfielder,10.5M,43K,"A. Ounas, LM",,"10,500,000.00",10500000
184,A. Oxlade-Chamberlain,25,England,Liverpool,80,83,€18.5M,€90K,CM,2022,82,73,78,84,66,73,Premier League,UK,Midfielder,18.5M,90K,"A. Oxlade-Chamberlain, CM",,"18,500,000.00",18500000
185,A. Oyongo,28,Cameroon,Montpellier HSC,74,74,€4.8M,€25K,LWB,2022,87,59,67,74,66,73,Ligue 1,France,Defender,4.8M,25K,"A. Oyongo, LWB",,"4,800,000.00",4800000
186,A. Paloschi,29,Italy,SPAL,75,75,€6.5M,€16K,ST,2021,69,69,58,72,28,75,Serie A,Italy,Forward,6.5M,16K,"A. Paloschi, ST",,"6,500,000.00",6500000
187,A. Pascanu,20,Romania,Leicester City,61,77,€525K,€7K,CB,2020,66,34,44,59,59,67,Premier League,UK,Defender,525K,7K,"A. Pascanu, CB",,"525,000.00",525000
188,A. Pelmard,19,France,OGC Nice,63,78,€750K,€3K,CB,2020,73,33,52,53,63,58,Ligue 1,France,Defender,750K,3K,"A. Pelmard, CB",,"750,000.00",750000
189,A. Peñaranda,22,Venezuela,Watford,72,80,€4.6M,€38K,ST,2023,75,69,67,77,36,59,Premier League,UK,Forward,4.6M,38K,"A. Peñaranda, ST",,"4,600,000.00",4600000
190,A. Petagna,24,Italy,SPAL,77,82,€12M,€16K,ST,2024,62,74,68,75,40,81,Serie A,Italy,Forward,12M,16K,"A. Petagna, ST",,"12,000,000.00",12000000
191,A. Phillips,21,England,Burnley,62,72,€475K,€5K,CM,2020,64,55,61,65,42,55,Premier League,UK,Midfielder,475K,5K,"A. Phillips, CM",,"475,000.00",475000
192,A. Phliponeau,19,France,Olympique de Marseille,63,78,€750K,€3K,CDM,2022,57,43,63,60,60,54,Ligue 1,France,Midfielder,750K,3K,"A. Phliponeau, CDM",,"750,000.00",750000
193,A. Pinamonti,20,Italy,Genoa,70,86,€3.9M,€8K,ST,2020,64,70,45,67,22,63,Serie A,Italy,Forward,3.9M,8K,"A. Pinamonti, ST",,"3,900,000.00",3900000
194,A. Plea,26,France,Borussia Monchengladbach,81,83,€22M,€41K,ST,2023,76,81,76,78,39,74,Bundesliga,Germany,Forward,22M,41K,"A. Plea, ST",,"22,000,000.00",22000000
195,A. Poli,29,Italy,Bologna,77,77,€8.5M,€34K,CM,2021,70,65,75,78,72,66,Serie A,Italy,Midfielder,8.5M,34K,"A. Poli, CM",,"8,500,000.00",8500000
196,A. Poulsen,19,Denmark,Borussia Monchengladbach,63,77,€725K,€3K,LB,2023,72,44,56,64,60,62,Bundesliga,Germany,Defender,725K,3K,"A. Poulsen, LB",,"725,000.00",725000
197,A. Ra<U+021B>iu,21,Romania,Villarreal CF,62,74,€500K,€3K,RB,2020,67,50,59,66,59,58,La Liga,Spain,Defender,500K,3K,"A. Ra<U+021B>iu, RB",,"500,000.00",500000
198,A. Rabiot,24,France,Juventus,83,87,€33M,€120K,CM,2023,73,74,79,80,77,80,Serie A,Italy,Midfielder,33M,120K,"A. Rabiot, CM",,"33,000,000.00",33000000
199,A. Racioppi,20,Switzerland,Olympique Lyonnais,62,77,€575K,€5K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,575K,5K,"A. Racioppi, GK",,"575,000.00",575000
200,A. Ragusa,29,Italy,Hellas Verona,72,72,€3M,€14K,LW,2021,86,67,66,75,44,64,Serie A,Italy,Forward,3M,14K,"A. Ragusa, LW",,"3,000,000.00",3000000
201,A. Ramos,33,Colombia,Granada CF,72,72,€2M,€16K,ST,2020,73,70,64,69,46,66,La Liga,Spain,Forward,2M,16K,"A. Ramos, ST",,"2,000,000.00",2000000
202,A. Ramsdale,21,England,Bournemouth,68,79,€1.2M,€11K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,1.2M,11K,"A. Ramsdale, GK",,"1,200,000.00",1200000
203,A. Ramsey,28,Wales,Juventus,83,83,€25.5M,€140K,CM,2023,68,77,79,80,68,74,Serie A,Italy,Midfielder,25.5M,140K,"A. Ramsey, CM",,"25,500,000.00",25500000
204,A. Ranocchia,31,Italy,Inter,75,75,€4.9M,€45K,CB,2021,32,32,57,58,78,70,Serie A,Italy,Defender,4.9M,45K,"A. Ranocchia, CB",,"4,900,000.00",4900000
205,A. Rebic,25,Croatia,Eintracht Frankfurt,80,83,€19M,€44K,ST,2022,88,80,70,78,39,81,Bundesliga,Germany,Forward,19M,44K,"A. Rebic, ST",,"19,000,000.00",19000000
206,A. Reca,24,Poland,Atalanta,66,73,€800K,€10K,LB,2022,80,57,63,69,62,66,Serie A,Italy,Defender,800K,10K,"A. Reca, LB",,"800,000.00",800000
207,A. Riccardi,18,Italy,Roma,63,84,€825K,€3K,CM,2023,63,55,59,63,51,53,Serie A,Italy,Midfielder,825K,3K,"A. Riccardi, CM",,"825,000.00",825000
208,A. Rispoli,30,Italy,Lecce,72,72,€2.5M,€12K,RB,2022,81,64,66,69,68,77,Serie A,Italy,Defender,2.5M,12K,"A. Rispoli, RB",,"2,500,000.00",2500000
209,A. Robertson,25,Scotland,Liverpool,85,89,€43.5M,€125K,LB,2024,85,62,77,79,80,75,Premier League,UK,Defender,43.5M,125K,"A. Robertson, LB",,"43,500,000.00",43500000
210,A. Rogel,21,Uruguay,Toulouse Football Club,69,78,€1.5M,€8K,CB,2022,55,29,46,57,66,78,Ligue 1,France,Defender,1.5M,8K,"A. Rogel, CB",,"1,500,000.00",1500000
211,A. Romagnoli,24,Italy,Milan,83,89,€32M,€46K,CB,2022,63,40,55,66,85,79,Serie A,Italy,Defender,32M,46K,"A. Romagnoli, CB",,"32,000,000.00",32000000
212,A. Romano,23,Italy,Napoli,60,68,€300K,€7K,CM,2024,50,55,55,57,53,63,Serie A,Italy,Midfielder,300K,7K,"A. Romano, CM",,"300,000.00",300000
213,A. Romao,35,Togo,Stade de Reims,75,75,€2.1M,€17K,CDM,2021,53,55,65,69,75,79,Ligue 1,France,Midfielder,2.1M,17K,"A. Romao, CDM",,"2,100,000.00",2100000
214,A. Rosati,36,Italy,Torino,69,69,€180K,€9K,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,180K,9K,"A. Rosati, GK",,"180,000.00",180000
215,A. Rouault,18,France,Toulouse Football Club,62,82,€575K,€1K,CB,2022,64,30,44,45,61,62,Ligue 1,France,Defender,575K,1K,"A. Rouault, CB",,"575,000.00",575000
216,A. Rrahmani,25,Kosovo,Hellas Verona,71,75,€2.7M,€10K,CB,2023,61,51,50,59,69,78,Serie A,Italy,Defender,2.7M,10K,"A. Rrahmani, CB",,"2,700,000.00",2700000
217,A. Rudiger,26,Germany,Chelsea,82,84,€24M,€115K,CB,2022,72,43,67,63,82,78,Premier League,UK,Defender,24M,115K,"A. Rudiger, CB",,"24,000,000.00",24000000
218,A. Sadiku,28,Albania,Levante UD,69,69,€1.1M,€12K,ST,2020,70,67,49,67,38,68,La Liga,Spain,Forward,1.1M,12K,"A. Sadiku, ST",,"1,100,000.00",1100000
219,A. Saint-Maximin,22,France,Newcastle United,79,86,€17.5M,€45K,RW,2025,93,70,70,87,23,63,Premier League,UK,Forward,17.5M,45K,"A. Saint-Maximin, RW",,"17,500,000.00",17500000
220,A. Salifu,26,Ghana,Fiorentina,68,69,€1M,€18K,CM,2020,74,59,64,66,57,79,Serie A,Italy,Midfielder,1M,18K,"A. Salifu, CM",,"1,000,000.00",1000000
221,A. Sanabria,23,Paraguay,Genoa,77,84,€12.5M,€18K,ST,2020,76,74,71,78,35,64,Serie A,Italy,Forward,12.5M,18K,"A. Sanabria, ST",,"12,500,000.00",12500000
222,A. Sánchez,30,Chile,Manchester United,82,82,€21M,€150K,LW,2022,81,78,77,85,44,73,Premier League,UK,Forward,21M,150K,"A. Sánchez, LW",,"21,000,000.00",21000000
223,A. Saraniti,30,Italy,Lecce,62,62,€290K,€4K,ST,2020,53,63,39,55,28,71,Serie A,Italy,Forward,290K,4K,"A. Saraniti, ST",,"290,000.00",290000
224,A. Schäfer,20,Hungary,Genoa,62,77,€675K,€2K,LM,2022,75,49,57,61,52,47,Serie A,Italy,Midfielder,675K,2K,"A. Schäfer, LM",,"675,000.00",675000
225,A. Schetino,25,Uruguay,Fiorentina,64,71,€575K,€9K,CDM,2020,49,49,55,59,59,68,Serie A,Italy,Midfielder,575K,9K,"A. Schetino, CDM",,"575,000.00",575000
226,A. Schopf,25,Austria,FC Schalke 04,77,80,€11M,€30K,RM,2021,76,71,70,79,58,70,Bundesliga,Germany,Midfielder,11M,30K,"A. Schopf, RM",,"11,000,000.00",11000000
227,A. Schwolow,27,Germany,SC Freiburg,78,79,€8.5M,€20K,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,8.5M,20K,"A. Schwolow, GK",,"8,500,000.00",8500000
228,A. Sedlar,27,Serbia,RCD Mallorca,72,75,€3.4M,€16K,CB,2023,57,40,49,47,71,78,La Liga,Spain,Defender,3.4M,16K,"A. Sedlar, CB",,"3,400,000.00",3400000
229,A. Semprini,21,Italy,Brescia,62,72,€450K,€2K,RB,2021,73,44,56,59,61,57,Serie A,Italy,Defender,450K,2K,"A. Semprini, RB",,"450,000.00",450000
230,A. Seydel,23,Germany,1. FSV Mainz 05,67,73,€1.1M,€9K,ST,2021,68,64,53,66,29,66,Bundesliga,Germany,Forward,1.1M,9K,"A. Seydel, ST",,"1,100,000.00",1100000
231,A. Sissoko,22,France,AS Saint-etienne,66,75,€900K,€7K,RB,2022,67,33,56,59,65,62,Ligue 1,France,Defender,900K,7K,"A. Sissoko, RB",,"900,000.00",900000
232,A. Smith,28,England,Bournemouth,76,76,€6.5M,€53K,RB,2021,71,60,71,74,75,69,Premier League,UK,Defender,6.5M,53K,"A. Smith, RB",,"6,500,000.00",6500000
233,A. Soumaoro,27,France,LOSC Lille,78,81,€11M,€36K,CB,2021,60,37,56,54,76,83,Ligue 1,France,Defender,11M,36K,"A. Soumaoro, CB",,"11,000,000.00",11000000
234,A. Souquet,27,France,Montpellier HSC,73,74,€4M,€22K,RWB,2023,75,53,70,70,70,65,Ligue 1,France,Defender,4M,22K,"A. Souquet, RWB",,"4,000,000.00",4000000
235,A. Stanilewicz,19,Poland,Bayer 04 Leverkusen,64,80,€950K,€7K,CM,2020,63,48,62,67,51,54,Bundesliga,Germany,Midfielder,950K,7K,"A. Stanilewicz, CM",,"950,000.00",950000
236,A. Stolz,35,Germany,TSG 1899 Hoffenheim,65,65,€150K,€4K,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,150K,4K,"A. Stolz, GK",,"150,000.00",150000
237,A. Surman,32,England,Bournemouth,75,75,€5M,€53K,CM,2020,52,65,75,69,66,66,Premier League,UK,Midfielder,5M,53K,"A. Surman, CM",,"5,000,000.00",5000000
238,A. Szalai,31,Hungary,TSG 1899 Hoffenheim,76,76,€7M,€35K,ST,2020,40,76,61,70,40,77,Bundesliga,Germany,Forward,7M,35K,"A. Szalai, ST",,"7,000,000.00",7000000
239,A. Szymanowski,30,Argentina,CD Leganes,76,76,€7.5M,€28K,LM,2020,81,72,72,77,40,58,La Liga,Spain,Midfielder,7.5M,28K,"A. Szymanowski, LM",,"7,500,000.00",7500000
240,A. Tabanelli,29,Italy,Lecce,65,65,€525K,€5K,CM,2020,60,54,63,66,47,67,Serie A,Italy,Midfielder,525K,5K,"A. Tabanelli, CM",,"525,000.00",525000
241,A. Tameze,25,France,OGC Nice,75,78,€8M,€28K,CM,2021,68,59,66,74,73,73,Ligue 1,France,Midfielder,8M,28K,"A. Tameze, CM",,"8,000,000.00",8000000
242,A. Taoui,17,France,Toulouse Football Club,65,75,€775K,€2K,ST,2021,69,64,56,68,24,55,Ligue 1,France,Forward,775K,2K,"A. Taoui, ST",,"775,000.00",775000
243,A. Tchang-Tchong,25,France,Dijon FCO,61,65,€290K,€2K,LB,2023,58,31,52,60,63,57,Ligue 1,France,Defender,290K,2K,"A. Tchang-Tchong, LB",,"290,000.00",290000
244,A. Tchouameni,19,France,FC Girondins de Bordeaux,70,84,€3.8M,€9K,CM,2022,72,53,63,71,69,73,Ligue 1,France,Midfielder,3.8M,9K,"A. Tchouameni, CM",,"3,800,000.00",3800000
245,A. Terzic,19,Serbia,Fiorentina,58,74,€250K,€3K,LB,2023,62,36,41,56,60,55,Serie A,Italy,Defender,250K,3K,"A. Terzic, LB",,"250,000.00",250000
246,A. Tettey,33,Norway,Norwich City,71,71,€1.2M,€25K,CDM,2020,64,64,64,62,71,76,Premier League,UK,Midfielder,1.2M,25K,"A. Tettey, CDM",,"1,200,000.00",1200000
247,A. Thomasson,25,France,RC Strasbourg Alsace,76,78,€9.5M,€27K,CM,2021,73,70,75,76,64,63,Ligue 1,France,Midfielder,9.5M,27K,"A. Thomasson, CM",,"9,500,000.00",9500000
248,A. Toufiqui,20,France,Paris Saint-Germain,62,77,€650K,€8K,CM,2020,64,52,62,63,55,54,Ligue 1,France,Midfielder,650K,8K,"A. Toufiqui, CM",,"650,000.00",650000
249,A. Toure,25,France,FC Nantes,75,78,€7.5M,€21K,CDM,2022,47,56,61,63,74,80,Ligue 1,France,Midfielder,7.5M,21K,"A. Toure, CDM",,"7,500,000.00",7500000
250,A. Toure,23,Mali,Eintracht Frankfurt,74,79,€6.5M,€22K,RB,2023,70,51,64,71,74,72,Bundesliga,Germany,Defender,6.5M,22K,"A. Toure, RB",,"6,500,000.00",6500000
251,A. Townsend,27,England,Crystal Palace,78,78,€11M,€55K,RM,2021,78,77,75,80,38,69,Premier League,UK,Midfielder,11M,55K,"A. Townsend, RM",,"11,000,000.00",11000000
252,A. Trajkovski,26,FYR Macedonia,RCD Mallorca,70,73,€2.2M,€14K,CAM,2023,74,69,65,75,26,58,La Liga,Spain,Midfielder,2.2M,14K,"A. Trajkovski, CAM",,"2,200,000.00",2200000
253,A. Traore,24,Mali,AS Monaco,71,76,€3.1M,€19K,CM,2020,68,54,66,72,63,65,Ligue 1,France,Midfielder,3.1M,19K,"A. Traore, CM",,"3,100,000.00",3100000
254,A. Traore,24,Mali,FC Metz,65,71,€750K,€5K,LW,2022,84,60,55,68,17,50,Ligue 1,France,Forward,750K,5K,"A. Traore, LW",,"750,000.00",750000
255,A. Tripaldelli,20,Italy,Sassuolo,60,77,€425K,€5K,LB,2022,60,33,46,61,60,58,Serie A,Italy,Defender,425K,5K,"A. Tripaldelli, LB",,"425,000.00",425000
256,A. Tshibola,24,DR Congo,Aston Villa,66,71,€850K,€13K,CM,2020,66,56,65,69,62,71,Premier League,UK,Midfielder,850K,13K,"A. Tshibola, CM",,"850,000.00",850000
257,A. Tuanzebe,21,England,Manchester United,73,84,€6.5M,€46K,CB,2022,78,35,61,69,71,74,Premier League,UK,Defender,6.5M,46K,"A. Tuanzebe, CB",,"6,500,000.00",6500000
258,A. Ujah,28,Nigeria,1. FC Union Berlin,73,73,€4.1M,€33K,ST,2022,69,72,55,69,33,72,Bundesliga,Germany,Forward,4.1M,33K,"A. Ujah, ST",,"4,100,000.00",4100000
259,A. Vassallo,21,Italy,Bologna,54,65,€120K,€4K,ST,2022,61,55,40,53,20,43,Serie A,Italy,Forward,120K,4K,"A. Vassallo, ST",,"120,000.00",120000
260,A. Vidal,32,Chile,FC Barcelona,84,84,€23.5M,€205K,CM,2021,67,79,80,78,85,86,La Liga,Spain,Midfielder,23.5M,205K,"A. Vidal, CM",,"23,500,000.00",23500000
261,A. Wan-Bissaka,21,England,Manchester United,79,88,€17.5M,€71K,RB,2024,87,50,63,78,80,72,Premier League,UK,Defender,17.5M,71K,"A. Wan-Bissaka, RB",,"17,500,000.00",17500000
262,A. Webster,24,England,Brighton & Hove Albion,74,78,€6.5M,€30K,CB,2023,68,29,55,66,73,73,Premier League,UK,Defender,6.5M,30K,"A. Webster, CB",,"6,500,000.00",6500000
263,A. Westwood,29,England,Burnley,77,77,€8.5M,€38K,CM,2020,60,60,79,74,74,76,Premier League,UK,Midfielder,8.5M,38K,"A. Westwood, CM",,"8,500,000.00",8500000
264,A. Whiteman,20,England,Tottenham Hotspur,63,76,€575K,€7K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,575K,7K,"A. Whiteman, GK",,"575,000.00",575000
265,A. Witsel,30,Belgium,Borussia Dortmund,85,85,€31.5M,€110K,CDM,2022,73,74,80,79,83,81,Bundesliga,Germany,Midfielder,31.5M,110K,"A. Witsel, CDM",,"31,500,000.00",31500000
266,A. Yarmolenko,29,Ukraine,West Ham United,79,79,€12.5M,€87K,RM,2022,68,80,78,82,42,70,Premier League,UK,Midfielder,12.5M,87K,"A. Yarmolenko, RM",,"12,500,000.00",12500000
267,A. Younes,25,Germany,Napoli,77,78,€10.5M,€53K,LM,2022,76,58,70,87,37,56,Serie A,Italy,Midfielder,10.5M,53K,"A. Younes, LM",,"10,500,000.00",10500000
268,A. Young,33,England,Manchester United,77,77,€4M,€85K,RB,2020,70,66,74,75,73,71,Premier League,UK,Defender,4M,85K,"A. Young, RB",,"4,000,000.00",4000000
269,A. Zaccagno,22,Italy,Torino,65,76,€750K,€6K,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,750K,6K,"A. Zaccagno, GK",,"750,000.00",750000
270,A. Zagre,17,France,Paris Saint-Germain,62,83,€625K,€1K,LB,2021,81,39,56,74,55,45,Ligue 1,France,Defender,625K,1K,"A. Zagre, LB",,"625,000.00",625000
271,A. Zambo Anguissa,23,Cameroon,Villarreal CF,73,78,€4.9M,€18K,CDM,2020,69,53,67,69,70,81,La Liga,Spain,Midfielder,4.9M,18K,"A. Zambo Anguissa, CDM",,"4,900,000.00",4900000
272,A. Zekaj,19,Kosovo,LOSC Lille,63,76,€650K,€3K,CDM,2021,61,45,58,58,61,68,Ligue 1,France,Midfielder,650K,3K,"A. Zekaj, CDM",,"650,000.00",650000
273,A. Zeneli,24,Kosovo,Stade de Reims,75,79,€8.5M,€23K,LM,2024,85,70,69,81,35,59,Ligue 1,France,Midfielder,8.5M,23K,"A. Zeneli, LM",,"8,500,000.00",8500000
274,Aarón,23,Spain,Granada CF,65,72,€575K,€3K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,575K,3K,"Aarón, GK",,"575,000.00",575000
